Days,Temperature,Humidity,Ratio,Compost_Volume,Residual_Rate,CO2_Release,Tensile_Strength
103,47.3,93.9,40.2,1.87,72.73,23.06,13.59
180,41.2,49.6,29.3,1.4,79.7,17.76,19.11
93,27.6,40.9,26.4,1.93,92.07,8.0,30.79
15,35.2,82.0,30.1,2.3,92.27,8.47,32.96
107,34.9,84.4,32.0,1.75,85.06,13.06,21.9
72,52.9,59.0,26.6,1.58,83.73,13.92,21.31
189,53.5,65.6,80.3,1.38,55.0,37.97,6.48
21,30.9,75.7,70.6,1.65,93.39,7.13,32.16
103,64.9,42.6,13.8,1.21,71.22,23.99,13.26
122,35.7,92.2,31.5,1.28,82.28,14.98,19.69
75,64.1,88.8,11.8,1.56,59.71,33.06,8.29
88,41.4,54.3,49.9,0.63,87.06,11.9,24.79
117,26.3,40.8,48.1,0.96,91.68,8.23,30.11
100,38.8,91.3,76.5,1.59,80.33,17.58,20.71
104,50.4,67.6,34.6,1.36,75.7,20.96,17.33
152,52.2,69.7,75.3,1.17,62.88,31.06,8.83
131,46.2,77.6,87.4,1.96,71.74,24.26,13.79
150,42.9,73.9,17.1,1.89,75.3,20.77,14.79
53,47.1,91.9,73.3,0.83,86.56,11.31,22.94
2,48.7,91.9,57.2,2.26,95.08,5.6,33.11
88,28.2,87.7,48.4,1.49,88.9,10.29,26.64
158,39.8,75.0,43.6,1.98,77.03,19.44,16.03
38,34.7,84.1,72.8,1.65,90.84,9.19,30.6
130,57.1,77.2,61.1,2.5,56.94,35.38,8.11
192,43.8,71.5,74.4,2.0,67.4,27.6,11.88
188,64.3,47.1,82.3,1.91,55.0,41.77,4.09
21,41.0,84.6,59.4,2.06,92.41,7.72,30.67
161,57.7,85.1,88.4,0.79,55.0,42.36,3.7
58,56.9,74.4,58.6,0.91,81.27,15.53,17.36
22,31.0,85.1,60.9,1.93,93.25,7.17,32.92
89,45.3,75.8,54.4,1.49,82.98,14.32,18.85
49,52.8,51.4,17.3,2.01,88.18,10.81,26.52
59,59.3,55.1,68.1,0.71,82.18,15.44,20.91
170,38.0,51.8,53.8,1.57,83.12,14.7,20.48
188,33.8,60.7,46.1,1.26,83.06,14.51,20.3
15,53.4,42.1,82.8,1.41,91.13,9.63,32.22
190,57.4,74.0,33.8,1.71,55.0,40.68,4.29
190,38.9,58.5,51.9,1.5,80.07,16.63,18.1
175,28.8,76.1,65.8,1.58,82.5,15.66,21.3
190,62.6,61.2,73.7,1.47,55.0,42.06,3.49
51,40.9,77.5,46.7,1.32,90.04,9.04,26.34
108,45.7,58.7,77.4,2.04,80.6,17.37,20.28
55,58.5,54.3,71.5,0.52,83.2,14.88,21.37
64,52.0,67.3,15.3,1.7,84.03,13.71,20.39
131,54.4,78.1,13.7,1.63,60.49,32.88,8.74
51,33.4,59.2,59.7,1.93,90.26,10.06,30.15
135,46.7,91.5,37.8,1.7,66.37,28.42,10.93
21,52.8,42.2,26.7,2.15,91.44,8.98,30.75
73,34.1,63.0,56.4,2.42,89.54,10.09,27.94
167,32.0,93.2,37.3,1.19,78.34,18.73,17.2
18,64.3,70.1,53.0,0.95,89.04,10.15,26.21
132,45.7,63.3,46.8,1.35,77.97,18.75,17.38
89,35.4,71.3,56.8,1.08,87.69,11.22,25.41
60,64.9,71.7,42.0,1.73,70.49,25.09,12.61
14,63.6,80.2,65.8,2.32,90.15,9.22,27.67
9,47.3,47.0,24.4,0.78,93.75,6.96,33.68
90,60.3,53.8,65.7,0.7,74.17,21.75,15.36
53,32.5,71.9,42.9,1.01,91.21,8.64,30.13
130,36.2,87.7,79.9,1.95,81.98,15.12,18.06
84,53.0,70.9,51.2,1.69,75.18,21.82,16.92
92,58.9,53.1,87.8,0.7,75.98,20.15,15.93
111,59.3,77.4,58.2,2.34,58.77,33.96,8.22
188,41.2,80.7,27.9,2.08,69.67,25.28,11.94
199,60.5,53.1,75.7,0.55,55.0,40.65,6.22
172,59.0,60.8,37.6,1.8,55.0,38.26,6.19
8,62.4,69.4,37.8,2.04,93.32,6.75,32.27
175,56.4,67.3,12.5,1.25,55.0,38.88,6.67
35,51.8,61.4,53.9,0.64,88.94,10.51,27.35
81,48.2,56.4,52.8,0.65,85.15,13.02,21.93
164,39.9,45.5,38.5,0.71,84.8,13.08,21.44
50,62.6,42.9,81.5,2.18,83.61,14.99,22.47
104,63.9,92.7,20.3,2.32,55.0,41.64,3.65
132,36.4,86.6,36.4,0.75,81.79,15.26,19.0
2,37.2,59.5,35.7,0.97,93.25,7.87,35.55
134,44.4,92.6,17.4,0.83,70.79,24.36,12.46
54,42.9,77.2,48.5,0.87,85.91,13.46,26.54
106,64.8,66.5,65.0,2.17,55.8,36.26,6.25
4,32.0,67.1,50.9,1.16,93.5,7.53,35.11
54,25.7,44.6,22.6,1.12,94.93,5.2,33.22
191,44.8,45.0,40.2,0.95,79.38,17.2,16.94
146,32.2,73.1,10.2,1.72,83.44,14.82,21.66
44,39.7,70.5,79.5,1.26,90.48,9.23,29.15
162,54.8,51.7,16.8,1.99,64.72,30.17,11.27
190,53.8,92.0,57.8,0.91,55.0,42.92,2.5
14,37.3,83.0,88.9,2.08,93.24,7.3,32.31
95,46.7,46.2,52.9,1.71,84.81,13.9,23.34
48,45.4,91.2,83.9,0.73,86.05,12.71,23.32
15,50.5,93.6,28.9,1.33,91.82,8.1,29.7
190,35.0,94.8,70.8,2.23,73.6,21.98,13.2
40,48.6,43.1,52.5,2.35,93.3,6.17,29.21
82,64.2,80.5,67.6,1.43,59.43,33.45,7.98
111,44.5,70.0,15.0,1.46,81.39,15.61,18.61
53,61.2,78.8,21.8,2.34,73.99,22.79,15.73
24,42.4,93.3,20.6,1.67,92.0,7.78,29.89
154,39.0,77.8,65.0,0.57,77.99,18.52,16.69
188,50.8,86.0,77.6,2.33,55.0,37.43,6.13
124,51.8,87.7,70.0,1.0,63.23,30.6,10.06
41,59.6,86.1,12.4,1.66,81.51,15.68,19.22
157,34.2,63.4,79.4,0.83,82.7,15.53,22.96
