Days,Temperature,Humidity,Ratio,Compost_Volume,Residual_Rate,CO2_Release,Tensile_Strength
103,40.7,93.3,40.2,1.46,54.67,41.21,17.92
180,32.2,24.9,29.3,1.07,87.64,11.23,21.29
93,13.6,11.5,26.4,1.51,94.62,4.89,21.99
15,24,74.9,30.1,1.83,92.66,6.67,21.4
107,23.6,78.6,32,1.36,84.64,13.96,20.17
72,48.3,39.4,26.6,1.22,90.9,8.27,22
189,49.2,49.5,80.3,1.05,35.65,58.5,11.64
21,18.1,65.2,70.6,1.28,93.04,6.33,15.77
103,64.9,14.1,13.8,0.9,94.58,4.92,22
122,24.7,90.7,31.5,0.97,79.23,18.88,20.54
75,63.7,85.4,11.8,1.2,88.95,10.05,22
88,32.6,32.2,49.9,0.41,87.43,11.43,18.33
117,11.8,11.3,48.1,0.69,94.33,5.16,19.39
100,29,89.3,76.5,1.22,42.31,52.44,14.84
104,44.9,52.6,34.6,1.03,77.22,20.71,21.02
152,47.4,55.8,75.3,0.87,35.65,58.5,12.38
131,39.2,68.1,87.4,1.54,35.65,58.5,11.77
150,34.6,62.3,17.1,1.48,86.94,11.87,21.93
53,40.4,90.2,73.3,0.58,61.69,34.82,15.64
2,42.6,90.3,57.2,1.79,95.64,3.96,16.85
88,14.4,83.7,48.4,1.14,87.06,11.76,18.84
158,30.3,64.1,43.6,1.56,62.45,34.14,18.05
38,23.3,78.1,72.8,1.27,86.56,12.22,16.58
130,54.2,67.6,61.1,2,35.96,58.22,15.48
192,35.9,58.7,74.4,1.58,35.65,58.5,13.5
188,64.1,20.9,82.3,1.5,41.55,53.13,12.5
21,31.9,79,59.4,1.62,91.13,8.06,17.24
161,54.9,79.8,88.4,0.54,35.65,58.5,9.51
58,53.9,63.2,58.6,0.65,70.34,26.96,16.04
22,18.3,79.7,60.9,1.51,92.89,6.46,18.05
89,38,65.4,54.4,1.14,68.32,28.8,16.41
49,48.3,27.6,17.3,1.58,93.63,5.79,22
59,57.2,33.3,68.1,0.47,80.74,17.51,17.02
170,27.9,28.2,53.8,1.21,81.96,16.4,17.53
188,22.1,42.1,46.1,0.94,80.37,17.85,18.68
15,49.1,13.3,82.8,1.08,91.62,7.61,14.95
190,54.5,62.6,33.8,1.33,42.8,52,18.71
190,29.2,38.6,51.9,1.15,71.53,25.88,18.15
175,15.3,65.7,65.8,1.22,66.64,30.33,16.04
190,61.7,42.8,73.7,1.13,35.65,58.5,13.06
51,31.9,67.9,46.7,1,88.24,10.69,18.46
108,38.5,39,77.4,1.61,62.67,33.94,14.75
55,56.1,32.2,71.5,0.32,81.45,16.86,15.79
64,47.2,52.2,15.3,1.32,92.77,6.57,22
131,50.4,68.9,13.7,1.26,84.53,14.07,22
51,21.5,39.6,59.7,1.52,89.71,9.35,17.36
